timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], compute_mode
2022/04/05 23:48:59.268, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:00.269, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:01.270, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:02.271, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:03.272, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:04.273, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:05.274, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:06.275, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:07.277, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:08.278, Tesla T4, 45, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:09.279, Tesla T4, 46, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:10.280, Tesla T4, 45, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:11.281, Tesla T4, 45, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:12.282, Tesla T4, 45, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:13.283, Tesla T4, 45, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:14.284, Tesla T4, 45, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:15.285, Tesla T4, 45, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:16.286, Tesla T4, 45, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:17.287, Tesla T4, 45, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:18.288, Tesla T4, 45, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:19.289, Tesla T4, 45, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:20.290, Tesla T4, 45, 0 %, 0 %, 0 MiB, Default
2022/04/05 23:49:21.291, Tesla T4, 45, 0 %, 0 %, 0 MiB, Default
